From To Probability
START @ 0.3027364987314245
START , 0.014588619064878582
START L 0.03633562885103299
START ~ 0.14325842696629215
START & 0.002808988764044944
START S 0.002808988764044944
START N 0.05717651322943096
START A 0.035429503443276555
START G 0.007339615802827112
START $ 0.007339615802827112
START V 0.07892352301558536
START R 0.030898876404494385
START X 0.0019028633562885105
START E 0.008245741210583545
START T 9.061254077564336e-05
START M 0.000996737948532077
START D 0.02999275099673795
START O 0.07258064516129033
START Z 0.000996737948532077
START ! 0.05898876404494382
START ^ 0.0662377673069953
START U 0.002808988764044944
START P 0.01911924610366075
START Y 9.061254077564336e-05
START # 0.018213120695904316
@ @ 0.09927890806077774
@ , 0.05163533350502189
@ L 0.031032706670100437
@ ~ 0.2422096317280453
@ & 0.013005408189544166
@ S 0.00141643059490085
@ N 0.042621684264743755
@ A 0.022019057429822304
@ G 0.009142415657996394
@ $ 0.006567087303631212
@ V 0.07738861704867371
@ R 0.04004635591037858
@ X 0.002704094772083441
@ E 0.009142415657996394
@ T 0.0001287664177182591
@ M 0.0001287664177182591
@ D 0.01686840072109194
@ O 0.0902652588204996
@ Z 0.0001287664177182591
@ ! 0.12889518413597734
@ ^ 0.028457378315735256
@ U 0.01815606489827453
@ P 0.025882049961370075
@ Y 0.0001287664177182591
@ # 0.011717744012361576
@ STOP 0.031032706670100437
, @ 0.013043948906689761
, , 0.026033773544057157
, L 0.04281229703399004
, ~ 0.02332756007793895
, & 0.02765750162372808
, S 5.412426932236415e-05
, N 0.0644620047629357
, A 0.030904957783069932
, G 0.017373890452478894
, $ 0.018456375838926176
, V 0.1034314786750379
, R 0.043894782420437324
, X 0.0016778523489932888
, E 0.025492530850833514
, T 5.412426932236415e-05
, M 5.412426932236415e-05
, D 0.03523489932885906
, O 0.07528685862740853
, Z 0.0016778523489932888
, ! 0.06013206321714657
, ^ 0.06121454860359385
, U 0.05255466551201559
, P 0.030904957783069932
, Y 0.0005953669625460057
, # 0.022245074691491666
, STOP 0.22142238579779175
L @ 0.00038226299694189603
L , 0.004204892966360856
L L 0.00038226299694189603
L ~ 0.00038226299694189603
L & 0.00038226299694189603
L S 0.00038226299694189603
L N 0.03860856269113149
L A 0.15328746177370028
L G 0.004204892966360856
L $ 0.011850152905198776
L V 0.3520642201834862
L R 0.19533639143730885
L X 0.00038226299694189603
L E 0.00038226299694189603
L T 0.011850152905198776
L M 0.00038226299694189603
L D 0.10359327217125382
L O 0.019495412844036695
L Z 0.00038226299694189603
L ! 0.00038226299694189603
L ^ 0.008027522935779817
L U 0.00038226299694189603
L P 0.09212538226299694
L Y 0.00038226299694189603
L # 0.00038226299694189603
L STOP 0.00038226299694189603
~ @ 0.4710401891252955
~ , 0.03171788810086683
~ L 0.013987391646966114
~ ~ 0.03368794326241135
~ & 0.0021670606776989757
~ S 0.00019700551615445234
~ N 0.025807722616233254
~ A 0.01792750197005516
~ G 0.0021670606776989757
~ $ 0.008077226162332545
~ V 0.04156816390858944
~ R 0.019897557131599682
~ X 0.006107171000788022
~ E 0.008077226162332545
~ T 0.00019700551615445234
~ M 0.00019700551615445234
~ D 0.019897557131599682
~ O 0.05535855003940111
~ Z 0.0021670606776989757
~ ! 0.03171788810086683
~ ^ 0.04550827423167849
~ U 0.07505910165484633
~ P 0.015957446808510637
~ Y 0.00019700551615445234
~ # 0.021867612293144205
~ STOP 0.049448384554767535
& @ 0.01629570747217806
& , 0.008346581875993641
& L 0.05604133545310016
& ~ 0.000397456279809221
& & 0.000397456279809221
& S 0.000397456279809221
& N 0.16732909379968205
& A 0.07591414944356122
& G 0.004372019077901431
& $ 0.0321939586645469
& V 0.20707472178060415
& R 0.06399046104928459
& X 0.000397456279809221
& E 0.000397456279809221
& T 0.000397456279809221
& M 0.000397456279809221
& D 0.09181240063593006
& O 0.15937996820349762
& Z 0.000397456279809221
& ! 0.01232114467408585
& ^ 0.07591414944356122
& U 0.004372019077901431
& P 0.020270270270270268
& Y 0.000397456279809221
& # 0.000397456279809221
& STOP 0.000397456279809221
S @ 0.005376344086021505
S , 0.05913978494623656
S L 0.005376344086021505
S ~ 0.005376344086021505
S & 0.005376344086021505
S S 0.005376344086021505
S N 0.6505376344086021
S A 0.11290322580645161
S G 0.005376344086021505
S $ 0.005376344086021505
S V 0.005376344086021505
S R 0.005376344086021505
S X 0.005376344086021505
S E 0.005376344086021505
S T 0.005376344086021505
S M 0.005376344086021505
S D 0.005376344086021505
S O 0.005376344086021505
S Z 0.005376344086021505
S ! 0.005376344086021505
S ^ 0.05913978494623656
S U 0.005376344086021505
S P 0.005376344086021505
S Y 0.005376344086021505
S # 0.005376344086021505
S STOP 0.005376344086021505
N @ 0.009433962264150945
N , 0.29761569510935887
N L 0.0047404486998967425
N ~ 0.005209800056322163
N & 0.034778935511123626
N S 4.693513564254201e-05
N N 0.13850558528114149
N A 0.014127475828405145
N G 0.012719421759128885
N $ 0.006148502769173003
N V 0.11081385525204168
N R 0.0343095841546982
N X 4.693513564254201e-05
N E 0.013658124471979725
N T 0.0028630432741950625
N M 4.693513564254201e-05
N D 0.011311367689852626
N O 0.02492255702618981
N Z 0.0005162864920679621
N ! 0.011780719046278044
N ^ 0.011311367689852626
N U 0.016943583966957665
N P 0.197174504834319
N Y 4.693513564254201e-05
N # 0.0038017459870459025
N STOP 0.037125692293250724
A @ 0.0026595744680851063
A , 0.15210233029381964
A L 0.007725430597771023
A ~ 0.007725430597771023
A & 0.03305471124620061
A S 0.00012664640324214793
A N 0.467451874366768
A A 0.03178824721377913
A G 0.005192502532928064
A $ 0.020390070921985817
A V 0.017857142857142856
A R 0.021656534954407294
A X 0.00012664640324214793
A E 0.0026595744680851063
A T 0.0013931104356636273
A M 0.00012664640324214793
A D 0.010258358662613981
A O 0.014057750759878418
A Z 0.00012664640324214793
A ! 0.01152482269503546
A ^ 0.03305471124620061
A U 0.003926038500506586
A P 0.11917426545086118
A Y 0.00012664640324214793
A # 0.0013931104356636273
A STOP 0.034321175278622086
G @ 0.03136531365313653
G , 0.10516605166051662
G L 0.0006150061500615006
G ~ 0.14821648216482167
G & 0.0006150061500615006
G S 0.0006150061500615006
G N 0.06826568265682657
